date,open,high,low,close,volume,sma5,sma20,sma60,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,stoch_k,stoch_d,atr14,roc12
2025-02-03,142.0,146.0,139.5,143.0,12039775,,,,143.0,143.0,,0.0,0.0,0.0,,,,,,6.5,
2025-02-04,143.5,151.0,142.0,148.5,14132503,,,,143.84615384615384,143.40740740740742,100.0,0.4387464387464206,0.08774928774928413,0.35099715099713646,,,,,,6.678571428571429,
2025-02-05,148.0,150.5,146.0,147.5,9278064,,,,144.40828402366864,143.71056241426612,98.62068965517241,0.6977216094025209,0.2097437520799315,0.4879778573225894,,,,,,6.5229591836734695,
2025-02-06,148.5,151.0,144.0,146.0,9799963,,,,144.6531634046427,143.88015038357975,96.47119875454074,0.7730130210629511,0.32239760587653543,0.4506154151864157,,,,,,6.5570335276967935,
2025-02-07,146.0,147.0,143.0,146.0,4174720,146.2,,,144.86036903469767,144.03717628109237,96.47119875454074,0.8231927536052979,0.42255663542228794,0.4006361181830099,,,,,,6.374388275718451,
2025-02-10,146.0,146.5,142.0,143.5,3796317,146.3,,,144.65108149089804,143.9973854454559,92.5712248403721,0.6536960454421319,0.46878451742625676,0.18491152801587513,,,,,,6.240503398881419,
2025-02-11,144.5,146.5,143.5,146.0,3766282,145.8,,,144.85860741537527,144.14572726431103,92.88115117551709,0.7128801510642404,0.5176036441538535,0.1952765069103869,,,,,,6.009038870389889,
2025-02-12,146.0,148.0,144.5,146.5,3661193,145.6,,,145.1111293514714,144.32011783732503,92.94454992169227,0.7910115141463621,0.5722852181523552,0.21872629599400684,,,,,,5.829821808219183,
2025-02-13,148.0,150.0,146.5,148.5,6278070,146.1,,,145.63249406662965,144.6297387382639,93.20521987902669,1.0027553283657369,0.6583792401950316,0.3443760881707053,,,,,,5.663405964774956,
2025-02-14,149.5,149.5,140.0,141.5,6964735,145.2,,,144.99672574868663,144.39790623913325,81.81224141380676,0.5988195095533797,0.6464672940667012,-0.04764778451332152,,,,,,5.937448395862459,
2025-02-17,140.5,143.0,140.5,141.5,3021887,144.8,,,144.45876794119638,144.18324651771596,81.81224141380676,0.2755214234804271,0.5722781199494464,-0.29675669646901937,,,,,,5.691916367586569,
2025-02-18,145.5,148.5,143.5,143.5,5409062,144.3,,,144.31126518101232,144.13263566455183,82.52024225381174,0.1786295164604894,0.49354839925165506,-0.31491888279116564,,,,,,5.7853509127589575,
2025-02-19,143.5,147.0,143.0,145.5,7368711,144.1,,,144.49414746085657,144.23392191162208,83.22354058342255,0.2602255492344909,0.44688382924822223,-0.1866582800137313,,,,,,5.657825847561889,1.7482517482517501
2025-02-20,146.5,149.0,146.0,147.0,4696450,143.8,,,144.8796632361094,144.43881658483525,83.75157401462225,0.4408466512741427,0.44567639365340633,-0.004829742379263646,,,,65.21739130434783,,5.503695429878897,-1.0101010101010055
