date,open,high,low,close,volume
2022-04-13,34.1,34.6,34.1,34.6,394675
2022-04-14,34.8,34.8,34.25,34.3,307154
2022-04-15,34.2,34.2,33.65,33.7,461709
2022-04-18,33.5,33.7,32.9,33.6,508327
2022-04-19,33.9,34.1,33.85,33.9,221608
2022-04-20,34.1,34.1,33.85,34.0,381008
2022-04-21,34.1,34.45,34.1,34.3,469917
2022-04-22,34.2,34.2,34.0,34.05,287364
2022-04-25,33.95,33.95,32.5,32.85,1195134
2022-04-26,33.1,34.4,33.1,34.2,962445
2022-04-27,33.55,33.55,32.7,33.15,816703
2022-04-28,33.45,33.45,32.9,33.2,339949
2022-04-29,33.3,33.7,33.3,33.35,292132
2022-05-03,33.2,33.65,33.1,33.5,179105
2022-05-04,33.7,33.8,33.4,33.55,274170
2022-05-05,33.95,34.5,33.85,34.4,605801
2022-05-06,33.65,34.25,33.3,34.2,406194
2022-05-09,33.7,33.8,33.1,33.15,417129
2022-05-10,33.1,33.6,32.3,33.4,548336
2022-05-11,33.3,33.3,32.9,32.95,329542
2022-05-12,32.5,33.0,32.0,32.05,642801
2022-05-13,32.3,33.55,32.25,33.45,602004
2022-05-16,33.65,33.95,33.45,33.85,497249
2022-05-17,34.0,34.4,33.85,34.2,620382
2022-05-18,34.5,34.7,33.85,33.95,680173
2022-05-19,33.45,34.0,33.3,33.95,275907
2022-05-20,34.05,34.2,33.9,33.9,195254
2022-05-23,34.0,34.3,33.9,34.1,263016
